VerticalCorrection, RotationalCorrection, DistanceCorrection, VerticalOffset, HorizontalOffset
-30.67, 0, 0, 0, 0, 1
-9.3299999, 0, 0, 0, 0, 1
-29.33, 0, 0, 0, 0, 1
-8, 0, 0, 0, 0, 1
-28, 0, 0, 0, 0, 1
-6.6700001, 0, 0, 0, 0, 1
-26.67, 0, 0, 0, 0, 1
-5.3299999, 0, 0, 0, 0, 1
-25.33, 0, 0, 0, 0, 1
-4, 0, 0, 0, 0, 1
-24, 0, 0, 0, 0, 1
-2.6700001, 0, 0, 0, 0, 1
-22.67, 0, 0, 0, 0, 1
-1.33, 0, 0, 0, 0, 1
-21.33, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 1
-20, 0, 0, 0, 0, 1
1.33, 0, 0, 0, 0, 1
-18.67, 0, 0, 0, 0, 1
2.6700001, 0, 0, 0, 0, 1
-17.33, 0, 0, 0, 0, 1
4, 0, 0, 0, 0, 1
-16, 0, 0, 0, 0, 1
5.3299999, 0, 0, 0, 0, 1
-14.67, 0, 0, 0, 0, 1
6.6700001, 0, 0, 0, 0, 1
-13.33, 0, 0, 0, 0, 1
8, 0, 0, 0, 0, 1
-12, 0, 0, 0, 0, 1
9.3299999, 0, 0, 0, 0, 1
-10.67, 0, 0, 0, 0, 1
10.67, 0, 0, 0, 0, 1
